Name,Area,S_Mean,V_Mean,Bloodstains,Notches,Convexity,Skin_Area
fish-00-1,206020,147.719,137.354,0,133.5,0.96962,0
fish-00-2,187768,140.131,108.215,0,24,0.940154,0
fish-00-3,201136,134.782,111.51,0,22,0.964059,11428
fish-01-1,201064,139.415,107.41,0,46,0.96836,1054.5
fish-01-2,201390,144.333,133.826,0,44,0.960097,936
fish-01-3,191394,145.489,137.36,0,128,0.940973,0
fish-02-1,180362,138.236,129.497,0,6,0.943402,0
fish-02-2,204173,144.572,157.679,0,40,0.953551,0
fish-02-3,226477,136.01,115.87,0,26,0.955688,18582
fish-03-1,197708,148.492,154.831,0,12,0.962774,0
fish-03-2,186914,136.155,127.592,0,204,0.960341,16505
fish-03-3,193634,146.073,162.807,0,19,0.96563,0
fish-04-1,140764,137.276,129.314,0,30,0.960922,0
fish-04-2,235662,137.417,105.215,0,56,0.956473,19282
fish-04-3,175401,149.05,152.618,0,118.5,0.936228,0
fish-05-1,201131,147.197,140.673,0,128,0.976845,4740
fish-05-2,170356,138.321,110.488,0,68,0.953929,3682
fish-05-3,223814,135.16,130.85,0,4,0.918688,7495
fish-06-1,201678,140.998,108.955,0,29,0.970976,7382
fish-06-2,179871,143.871,131.108,0,47,0.959212,0
fish-06-3,230505,146.095,150.473,0,49,0.932066,550
fish-07-1,198890,140.017,104.908,0,51,0.958591,920.5
fish-07-2,204092,146.254,136.192,0,91.5,0.956113,0
fish-07-3,215918,147.224,138.651,0,28,0.942612,0
fish-08-1,212954,142.757,133.21,0,73,0.939315,0
fish-08-2,219264,147.518,136.361,0,10,0.966979,1662
fish-08-3,199232,137.119,97.4858,0,172,0.931243,5047
fish-09-1,222252,149.782,181.122,1,29,0.967809,0
fish-09-2,221470,149.097,174.076,1,472,0.951765,0
fish-09-3,167924,141.684,142.705,0,30,0.914126,0
fish-10-1,227262,147.379,183.774,0,6,0.958984,4079
fish-10-2,223665,127.712,118.026,0,362.5,0.897163,66647
fish-11-1,204008,147.086,167.447,0,45,0.97268,0
fish-11-2,204448,121.174,125.838,0,61,0.924071,115476
fish-11-3,199828,139.494,129.862,0,115.5,0.976758,484
fish-12-1,204439,138.486,146.246,0,20,0.970276,0
fish-12-2,208580,148.075,170.824,0,101,0.950112,0
fish-12-3,207170,145.066,181.484,0,127.5,0.978036,0
fish-13-1,245344,148.203,169.288,0,60,0.976249,0
fish-13-2,195918,150.834,163.146,0,81,0.943601,0
fish-13-3,200262,147.991,192.268,0,78,0.969257,0
fish-14-1,214720,135.559,142.513,0,16,0.957887,6332.5
fish-14-2,190714,147.682,174.395,0,79,0.977727,0
fish-15-1,214644,148.345,132.26,0,146,0.970783,0
fish-15-2,201441,137.254,85.7207,0,269.5,0.950507,10702
fish-15-3,199586,135.629,104.585,0,58.5,0.973773,4186
fish-16-1,208124,141.002,113.923,0,24,0.965275,0
fish-16-2,206046,146.213,124.621,0,382,0.95203,0
fish-16-3,208066,146.804,133.273,0,316,0.963358,0
fish-17-1,193213,121.155,85.1846,0,77,0.971271,90330
fish-17-2,211292,147.312,137.606,0,55,0.959796,0
fish-17-3,155046,123.56,97.4429,0,172.5,0.649398,90286.5
fish-18-1,205498,139.823,124.612,0,4,0.954353,0
fish-19-1,210964,147.336,148.075,0,142.5,0.961469,0
fish-20-1,197840,140.339,106.023,0,34,0.979139,5249.5
fish-20-2,206930,136.699,101.389,0,118.5,0.962402,5166.5
fish-20-3,217362,145.67,135.936,0,152,0.968768,2570.5
